ch_id	lat	lon	depth
506	40.82215916	14.15939491	0
507	40.82213198	14.15934829	0
508	40.82210453	14.15930215	0
509	40.82207708	14.15925590	0
510	40.82204953	14.15920964	0
511	40.82202208	14.15916338	0
512	40.82199463	14.15911724	0
513	40.82196709	14.15907099	0
514	40.82193963	14.15902473	0
515	40.82191209	14.15897848	0
516	40.82188464	14.15893234	0
517	40.82185719	14.15888608	0
518	40.82182965	14.15883983	0
519	40.82180219	14.15879357	0
520	40.82177331	14.15874887	0
521	40.82174425	14.15870442	0
522	40.82171519	14.15865984	0
523	40.82168613	14.15861527	0
533	40.82165706	14.15857069	0
534	40.82162919	14.15852800	0
535	40.82160131	14.15848519	0
536	40.82157343	14.15844249	0
537	40.82154048	14.15840757	0
538	40.82150396	14.15837815	0
539	40.82146753	14.15834873	0
540	40.82143101	14.15831931	0
541	40.82139449	14.15829000	0
542	40.82135798	14.15826058	0
543	40.82132146	14.15823116	0
544	40.82128494	14.15820174	0
545	40.82124878	14.15817149	0
546	40.82121297	14.15814075	0
547	40.82117707	14.15811002	0
548	40.82114117	14.15807928	0
549	40.82110528	14.15804855	0
550	40.82106947	14.15801782	0
551	40.82103357	14.15798708	0
552	40.82099767	14.15795635	0
553	40.82096186	14.15792550	0
554	40.82092597	14.15789477	0
555	40.82089007	14.15786403	0
556	40.82085818	14.15782685	0
557	40.82082798	14.15778691	0
558	40.82079778	14.15774709	0
559	40.82076758	14.15770716	0
560	40.82073729	14.15766722	0
561	40.82070709	14.15762741	0
562	40.82067689	14.15758747	0
563	40.82064714	14.15754705	0
564	40.82062553	14.15749847	0
565	40.82060382	14.15744989	0
566	40.82058221	14.15740119	0
567	40.82056059	14.15735261	0
568	40.82053898	14.15730403	0
569	40.82051736	14.15725533	0
570	40.82049575	14.15720675	0
571	40.82047404	14.15715817	0
572	40.82045387	14.15710897	0
573	40.82045535	14.15705275	0
574	40.82045692	14.15699640	0
575	40.82045840	14.15694006	0
576	40.82045997	14.15688383	0
577	40.82046145	14.15682748	0
578	40.82046302	14.15677114	0
579	40.82046450	14.15671491	0
580	40.82046661	14.15665856	0
581	40.82046989	14.15660243	0
582	40.82047317	14.15654618	0
583	40.82047637	14.15649005	0
584	40.82047965	14.15643392	0
585	40.82048293	14.15637767	0
586	40.82048612	14.15632154	0
587	40.82048941	14.15626529	0
588	40.82049269	14.15620916	0
589	40.82049597	14.15615291	0
590	40.82050557	14.15609836	0
591	40.82051779	14.15604437	0
592	40.82052991	14.15599027	0
593	40.82054213	14.15593628	0
594	40.82055470	14.15588074	0
595	40.82056726	14.15582508	0
596	40.82057983	14.15576955	0
597	40.82059239	14.15571401	0
598	40.82060487	14.15565836	0
599	40.82061563	14.15560213	0
600	40.82062593	14.15554579	0
601	40.82063624	14.15548945	0
602	40.82064646	14.15543300	0
603	40.82065677	14.15537666	0
604	40.82066707	14.15532020	0
605	40.82067729	14.15526387	0
606	40.82068760	14.15520741	0
607	40.82069781	14.15515107	0
608	40.82070812	14.15509473	0
609	40.82071843	14.15503828	0
610	40.82072865	14.15498194	0
611	40.82073895	14.15492548	0
612	40.82074926	14.15486914	0
613	40.82075948	14.15481281	0
614	40.82076978	14.15475635	0
615	40.82078000	14.15470001	0
616	40.82079031	14.15464356	0
617	40.82080061	14.15458722	0
618	40.82081083	14.15453076	0
635	40.82082114	14.15447442	0
