channel_id	cluster_id	classification
1402	-1	noise
1403	-1	noise
1404	-1	noise
1405	-1	noise
1406	-1	noise
1407	-1	noise
1408	-1	noise
1409	-1	noise
1410	-1	noise
1411	-1	noise
1412	-1	noise
1413	-1	noise
1414	-1	noise
1415	-1	noise
1416	-1	noise
1417	-1	noise
1455	-1	noise
1456	-1	noise
1457	-1	noise
1458	-1	noise
1459	-1	noise
1460	-1	noise
1461	-1	noise
1462	-1	noise
1463	-1	noise
1464	-1	noise
1465	-1	noise
1466	-1	noise
1467	-1	noise
1468	-1	noise
1469	-1	noise
1470	-1	noise
1471	-1	noise
1472	-1	noise
1473	-1	noise
1474	-1	noise
1475	-1	noise
1476	-1	noise
1477	-1	noise
1478	-1	noise
1479	-1	noise
1480	-1	noise
1481	-1	noise
1482	-1	noise
1483	-1	noise
1484	-1	noise
1485	-1	noise
1486	-1	noise
1487	-1	noise
1488	-1	noise
1489	-1	noise
1490	-1	noise
1491	-1	noise
1492	-1	noise
1493	-1	noise
1494	-1	noise
1495	-1	noise
1496	-1	noise
1497	-1	noise
1498	-1	noise
1499	-1	noise
1500	-1	noise
1501	-1	noise
1502	-1	noise
1503	-1	noise
1504	-1	noise
1505	-1	noise
1506	-1	noise
1507	-1	noise
1508	-1	noise
1509	-1	noise
1510	-1	noise
1511	-1	noise
1512	-1	noise
1513	-1	noise
1514	-1	noise
1515	-1	noise
1516	-1	noise
1517	-1	noise
1518	-1	noise
1519	-1	noise
1520	-1	noise
1521	-1	noise
1522	-1	noise
1523	-1	noise
1524	-1	noise
1525	-1	noise
1526	-1	noise
1527	-1	noise
1528	-1	noise
1529	-1	noise
1530	-1	noise
1531	-1	noise
1532	-1	noise
1533	-1	noise
1534	-1	noise
1535	-1	noise
1536	-1	noise
1537	-1	noise
1538	-1	noise
1539	-1	noise
1540	-1	noise
1541	-1	noise
1542	-1	noise
1543	-1	noise
1544	-1	noise
1545	-1	noise
1546	-1	noise
1547	-1	noise
1548	-1	noise
1549	-1	noise
1550	-1	noise
1551	-1	noise
1552	-1	noise
1553	-1	noise
1554	-1	noise
1555	-1	noise
1556	-1	noise
1557	-1	noise
1558	-1	noise
1559	-1	noise
1560	-1	noise
1561	-1	noise
1562	-1	noise
1563	-1	noise
1564	-1	noise
1565	-1	noise
1566	-1	noise
1567	-1	noise
1568	-1	noise
1569	-1	noise
1570	-1	noise
1571	-1	noise
1572	-1	noise
1573	-1	noise
1574	-1	noise
1575	-1	noise
1576	-1	noise
1577	-1	noise
1578	-1	noise
1579	-1	noise
1580	-1	noise
1581	-1	noise
1582	-1	noise
1583	-1	noise
1584	-1	noise
1585	-1	noise
1586	-1	noise
1600	-1	noise
1601	-1	noise
1602	-1	noise
1603	-1	noise
1604	-1	noise
1605	-1	noise
1606	-1	noise
1607	-1	noise
1608	-1	noise
1609	-1	noise
1610	-1	noise
1611	-1	noise
1612	-1	noise
1613	-1	noise
1614	-1	noise
1615	-1	noise
1616	-1	noise
1617	-1	noise
1618	-1	noise
1619	-1	noise
1620	-1	noise
1621	-1	noise
1622	-1	noise
1623	-1	noise
1624	-1	noise
1625	-1	noise
1626	-1	noise
1627	-1	noise
1628	-1	noise
1629	-1	noise
1630	-1	noise
1631	-1	noise
1632	-1	noise
1633	-1	noise
1634	-1	noise
1635	-1	noise
1636	-1	noise
1637	-1	noise
1638	-1	noise
1639	-1	noise
1640	-1	noise
1641	-1	noise
1642	-1	noise
1643	-1	noise
1644	-1	noise
1645	-1	noise
1646	-1	noise
1647	-1	noise
1648	-1	noise
1649	-1	noise
1650	-1	noise
1651	-1	noise
1652	-1	noise
1653	-1	noise
1654	-1	noise
1655	-1	noise
1656	-1	noise
1657	-1	noise
1658	-1	noise
1659	-1	noise
1660	-1	noise
1661	-1	noise
1662	-1	noise
1663	-1	noise
1664	-1	noise
1665	-1	noise
1666	-1	noise
1667	-1	noise
1668	-1	noise
1669	-1	noise
1670	-1	noise
1671	-1	noise
1672	-1	noise
1673	-1	noise
1674	-1	noise
1675	-1	noise
1676	-1	noise
1677	-1	noise
1678	-1	noise
1679	-1	noise
1680	-1	noise
1681	-1	noise
1682	-1	noise
1683	-1	noise
1684	-1	noise
1685	-1	noise
1686	-1	noise
1687	-1	noise
1688	-1	noise
1689	-1	noise
1690	-1	noise
1691	-1	noise
1692	-1	noise
1693	9	cluster
1694	9	cluster
1695	9	cluster
1696	9	cluster
1697	9	cluster
1698	9	cluster
1699	9	cluster
1700	9	cluster
1701	9	cluster
1702	9	cluster
1703	9	cluster
1704	9	cluster
1705	9	cluster
1706	9	cluster
1707	9	cluster
1708	9	cluster
1709	9	cluster
1710	9	cluster
1711	9	cluster
1712	9	cluster
1713	9	cluster
1714	9	cluster
1715	9	cluster
1716	9	cluster
1717	9	cluster
1718	9	cluster
1719	9	cluster
1720	9	cluster
1721	9	cluster
1722	9	cluster
1723	9	cluster
1724	9	cluster
1725	9	cluster
1726	9	cluster
1727	9	cluster
1728	9	cluster
1729	9	cluster
1730	9	cluster
1731	9	cluster
1732	9	cluster
1733	9	cluster
1734	9	cluster
1735	9	cluster
1736	9	cluster
1737	9	cluster
1738	9	cluster
1739	9	cluster
1740	9	cluster
1741	9	cluster
1742	9	cluster
1743	9	cluster
1744	9	cluster
1745	9	cluster
1746	9	cluster
1747	9	cluster
1761	9	cluster
1762	9	cluster
1763	9	cluster
1764	9	cluster
1765	9	cluster
1766	9	cluster
1767	9	cluster
1768	9	cluster
1769	9	cluster
1770	9	cluster
1771	9	cluster
1772	9	cluster
1773	9	cluster
1774	9	cluster
1775	9	cluster
1776	9	cluster
1777	9	cluster
1778	9	cluster
1779	9	cluster
1780	9	cluster
1781	9	cluster
1782	9	cluster
1783	9	cluster
1784	9	cluster
1785	9	cluster
1786	9	cluster
1787	9	cluster
1788	9	cluster
1789	9	cluster
1790	9	cluster
1791	9	cluster
1792	9	cluster
1793	9	cluster
1794	9	cluster
1795	9	cluster
1796	9	cluster
1797	9	cluster
