%iDASCh East	North   IntDist CumDist
 650 428625.77 4519225.07 4.89 2718.14
 651 428621.39 4519227.25 4.89 2723.03
 652 428617.02 4519229.44 4.89 2727.92
 653 428612.64 4519231.63 4.89 2732.81
 654 428608.27 4519233.81 4.89 2737.70
 655 428603.90 4519236.00 4.89 2742.59
 656 428599.52 4519238.19 4.89 2747.48
 657 428595.15 4519240.37 4.89 2752.37
 658 428590.77 4519242.56 4.89 2757.26
 659 428586.39 4519244.74 4.89 2762.15
 660 428582.02 4519246.92 4.89 2767.04
 661 428577.64 4519249.09 4.89 2771.93
 662 428573.26 4519251.27 4.89 2776.82
 663 428568.88 4519253.45 4.89 2781.71
 664 428564.50 4519255.63 4.89 2786.60
 665 428560.13 4519257.81 4.89 2791.49
 666 428555.75 4519259.99 4.89 2796.38
 667 428551.15 4519261.55 4.85 2801.24
 668 428546.37 4519262.57 4.89 2806.13
 669 428541.59 4519263.59 4.89 2811.02
 670 428536.81 4519264.61 4.89 2815.91
 671 428532.02 4519265.62 4.89 2820.80
 672 428527.24 4519266.64 4.89 2825.69
 673 428522.46 4519267.66 4.89 2830.58
 674 428517.67 4519268.68 4.89 2835.47
 675 428512.89 4519269.70 4.89 2840.36
 676 428508.11 4519270.72 4.89 2845.25
 677 428503.25 4519270.50 4.86 2850.11
 678 428498.39 4519270.02 4.89 2855.00
 679 428493.52 4519269.54 4.89 2859.89
 680 428488.65 4519269.06 4.89 2864.78
 681 428483.79 4519268.58 4.89 2869.67
 682 428478.92 4519268.11 4.89 2874.56
 683 428474.05 4519267.63 4.89 2879.45
 684 428469.19 4519267.15 4.89 2884.34
 685 428464.32 4519266.67 4.89 2889.23
 686 428459.45 4519266.19 4.89 2894.12
 687 428454.59 4519265.72 4.89 2899.01
 688 428449.72 4519265.24 4.89 2903.90
 689 428444.84 4519264.88 4.89 2908.79
 690 428439.96 4519264.57 4.89 2913.68
 691 428435.08 4519264.26 4.89 2918.57
 692 428430.20 4519263.96 4.89 2923.46
 693 428425.32 4519263.65 4.89 2928.35
 694 428420.44 4519263.34 4.89 2933.24
 695 428415.56 4519263.04 4.89 2938.13
 696 428410.68 4519262.73 4.89 2943.02
 697 428405.79 4519262.52 4.89 2947.91
 698 428400.91 4519262.37 4.89 2952.80
 699 428396.02 4519262.22 4.89 2957.69
 700 428391.13 4519262.07 4.89 2962.58
 701 428386.24 4519261.92 4.89 2967.47
